Product Name,Price,Brand,Image Source
Shoshanna Ipomea Taffeta Dress,$440,anthropologie.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/155722736.jpg
Ellen Tracy 'Elegant' Twill Fit & Flare Dress,$150,nordstrom.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/152725673.jpg
Joana Almagro - Milla Creme Dress,$711,wolfandbadger.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/132101399.jpg
Reborn Collection Charcoal Side-Pocket Fit & Flare Dress,$30,zulily.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/155892756.jpg
CALYPSO St. Barth Svila Embroidered Shift Dress,$309,calypsostbarth.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/147325543.jpg
Halston Heritage Colorblocked Tuxedo Dress,$371,lordandtaylor.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/155685226.jpg
Boohoo Blue Onika Faux Suede Dress,$26,boohoo.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/152664581.jpg
"Pre-owned Moschino Couture ""Hearts"" gown/disco dress","$1,850",1stdibs.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/128625514.jpg
Pre-owned 1990s Yves Saint Laurent Strapless Cocktail Set,$890,1stdibs.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/140077145.jpg
House Of Holland A-Line Tartan Dress,$615,brownsfashion.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/150197131.jpg
Redvalentino Silk Twill Scalloped Dress,$390,redvalentino.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/152895774.jpg
Forever 21 Women's Belted Gingham Shift Dress,$23,forever21.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/155363249.jpg
iCool Apparel Side Pocket Striped Dress,$147,modli.co,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/156352946.jpg
MARY KATRANTZOU Cameron Dress,"$1,137",boutique1.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/145027033.jpg
Calvin Klein Floral-Print Side-Pocket Dress,$107,macys.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/151217219.jpg
Calvin Klein Seamed Side-Pocket Floral Dress,$107,macys.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/151208894.jpg
"Mango Floral Print Dress, Medium Blue",$52,johnlewis.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/154155261.jpg
Stella McCartney Denim Linda Dress,$775,barneys.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/152328435.jpg
Kenzo Vintage Kimono Dress,$947,farfetch.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/155044585.jpg
Tsumori Chisato Mardelle Dress,$628,anthropologie.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/155445779.jpg
Shoshanna Celestial Dot Dress,$515,anthropologie.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/156478771.jpg
Shoshanna Snow Blossom Maxi Dress,$520,anthropologie.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/156478434.jpg
