Product Name,Price,Brand,Link,Image Source
Multi-Stripe Shirt Dress,$19.99,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=DRESS&productid=2000077554,http://www.forever21.com/images/default_330/00077554-03.jpg
Faux Suede Shirt Dress,$37.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000143064,http://www.forever21.com/images/default_330/00143064-02.jpg
Denim Utility Shirt Dress,$27.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000077443,http://www.forever21.com/images/default_330/00077443-02.jpg
Genuine Suede Shirt Dress,$69.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000161449,http://www.forever21.com/images/default_330/00161449-02.jpg
Buffalo Plaid Shirt Dress,$22.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000141518,http://www.forever21.com/images/default_330/00141518-03.jpg
Contemporary Genuine Suede Sheath Dress,$49.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=f21&category=dress&productid=2000154726,http://www.forever21.com/images/default_330/00154726-02.jpg
Wrap-Front Maxi Dress,$29.90,forever21.com,http://www.forever21.com/Product/Product.aspx?Br=F21&Category=dress&ProductID=2000174545&VariantID=,http://www.forever21.com/images/default_330/00174545-01.jpg
Buttoned Midi Dress,$22.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=DRESS&productid=2000131383,http://www.forever21.com/images/default_330/00131383-01.jpg
Shift Sweater Dress,$24.90,forever21.com,http://www.forever21.com/Product/product.aspx?br=f21&category=dress&productid=2000161599,http://www.forever21.com/images/default_330/00161599-01.jpg
The Allflower Faux Suede Shift Dress,$102.00,forever21.com,http://www.forever21.com/Product/product.aspx?br=f21&category=dress&productid=2000180084,http://www.forever21.com/images/default_330/00180084-01.jpg
Lace-Up Denim Dress,$24.90,forever21.com,http://www.forever21.com/Product/Product.aspx?Br=F21&Category=DRESS&ProductID=2000131682&VariantID=,http://www.forever21.com/images/default_330/00131682-01.jpg
Contemporary Belted Crepe Shirt Dress,$27.90,forever21.com,http://www.forever21.com/Product/Product.aspx?BR=f21&Category=dress_white-dresses&ProductID=2000131674&VariantID=,http://www.forever21.com/images/default_330/00131674-02.jpg
V-Neck Maxi Dress,$15.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000180842,http://www.forever21.com/images/default_330/00180842-04.jpg
Plus Size Funnel Neck Shift Dress,$24.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=PLUS&category=plus_size-dresses&productid=2000178701,http://www.forever21.com/images/default_330/00178701-02.jpg
Zippered Sheath Dress,$22.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000142704,http://www.forever21.com/images/default_330/00142704-02.jpg
Textured Shift Dress,$24.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000161343,http://www.forever21.com/images/default_330/00161343-02.jpg
Crisscross Neckline Shift Dress,$24.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=F21&category=dress&productid=2000161847,http://www.forever21.com/images/default_330/00161847-03.jpg
Frayed Chambray Shift Dress,$24.90,forever21.com,http://www.forever21.com/Product/Product.aspx?br=f21&category=dress&productid=2000155614,http://www.forever21.com/images/default_330/00155614-01.jpg
