link,price,img,,
http://www.modcloth.com/shop/dresses/datebook-official-dress,$179.99,http://productshots1.modcloth.net/productshots/0160/9769/55cdc8e28f56d994b668314bdaf522b0.jpg?1437680329,,
http://www.modcloth.com/shop/dresses/start-spreading-the-mews-dress,$79.99,http://productshots2.modcloth.net/productshots/0163/1819/fd06688919eaddb553496862bcfc1245.jpg?1444251501,,
http://www.modcloth.com/shop/dresses/luck-be-a-lady-dress-in-black,$79.99,http://productshots0.modcloth.net/productshots/0159/2143/ec9aabf0fa9ba822a9ffb861a5bd3239.jpg?1435089610,,
http://www.modcloth.com/shop/dresses/in-the-fiddle-with-you-dress-in-purple,$64.99,http://productshots2.modcloth.net/productshots/0162/6707/d2f5e2c3008e9ec5cbfa2dfe3e6db0ca.jpg?1442869382,,
http://www.modcloth.com/shop/dresses/biking-through-brussels-dress-in-navy,$89.99,http://productshots0.modcloth.net/productshots/0162/7571/a00c6ce131af90d187e033a862085099.jpg?1443131165,,
http://www.modcloth.com/shop/dresses/charm-convention-dress-in-forest,$89.99,http://productshots1.modcloth.net/productshots/0162/7011/ee663247226aa9fde23c30b53dbd15d5.jpg?1443031758,,
http://www.modcloth.com/shop/dresses/snowfalling-for-you-dress,$119.99,http://productshots1.modcloth.net/productshots/0162/7035/f69ed09e473f5b01e363cabebb22139e.jpg?1443033876,,
http://www.modcloth.com/shop/dresses/proclaim-to-fame-dress,$69.99,http://productshots0.modcloth.net/productshots/0162/5375/98c3840812a355742d9ac3fff0236d08.jpg?1442521928,,
http://www.modcloth.com/shop/dresses/guest-of-honor-dress-in-rose-garden,$94.99,http://productshots1.modcloth.net/productshots/0158/1509/eebfabb321311455ef6841102bd4d694.jpg?1433966881,,
http://www.modcloth.com/shop/dresses/teaching-classy-dress-in-navy-dots,$59.99,http://productshots3.modcloth.net/productshots/0162/6451/bf5025734b5f0fb29aa913e3a56b3cb2.jpg?1442860173,,
http://www.modcloth.com/shop/dresses/too-much-fun-dress-in-blue-dots-long,$109.99,http://productshots1.modcloth.net/productshots/0158/1537/cc8bb7a110211069a0b2cfed1e4a1e93.jpg?1433966908,,
http://www.modcloth.com/shop/dresses/luck-be-a-lady-dress-in-violet,$79.99,http://productshots0.modcloth.net/productshots/0157/1401/61d3647232a3a1d852304452b0dab780.jpg?1432756162,,
http://www.modcloth.com/shop/dresses/uptown-twirl-dress,$229.99,http://productshots2.modcloth.net/productshots/0161/5305/5f289d2b3fa3cd217fbac0e6263252b3.jpg?1439416666,,
http://www.modcloth.com/shop/dresses/keener-postures-dress-in-leaves,$109.99,http://productshots2.modcloth.net/productshots/0162/3499/9c3ac8923f4a51797f1c327bbad53d68.jpg?1441912658,,
http://www.modcloth.com/shop/dresses/daytrip-darling-dress-in-teal-dots,$99.99,http://productshots0.modcloth.net/productshots/0162/3509/f1bed49d41f45be7458098b3dfbf00f5.jpg?1441912701,,
